And my son says, for what it’s worth, that he won’t do that again.;E meu filho diz, se serve de consolo, que ele não vai fazer isso de novo.
For what it’s worth, I think you can’t trust that man.;Se é que serve de ajuda, eu acho que você não deve confiar naquele homem.(A ideia é: “não sei se o que eu vou dizer vai ajudar ou faz sentido, mas vou dizer assim mesmo pois é minha opinião”)
Here’s my advice, for what it’s worth.;Aqui está meu conselho, se é que serve de alguma coisa.
For what it’s worth, she’s very highly thought of abroad.;Se serve de ajuda, ela é muito reconhecida no exterior.(Tem uma boa reputação no exterior, é muito considerada)
Here’s my thinking, for what it’s worth.;Aqui está meu pensamento, se é que serve de ajuda.(Ou ainda: Aqui está o que penso, caso faça sentido)
For what it’s worth, I think he may be right.;Se é que serve de consolo, eu acho que ele pode estar certo.
They are, for what it’s worth, the single most successful playhouse in the West.;Eles são, se é que faz sentido, o único teatro mais bem sucedido do oeste.
My idea – for what it’s worth – is to split the group into two so we can work better.;Minha ideia – se serve de ajuda – é dividir o grupo em dois para que possamos trabalhar melhor.(Podemos traduzir também como: Minha ideia, caso tenha alguma relevância, é dividir o grupo…)
For what it’s worth, I’m sorry.;Se serve de consolo, eu sinto muito.
Well, for what it’s worth, I didn’t know about the expulsion till just now.;Bom, se serve de consolo, eu não sabia sobre a expulsão até agora mesmo.
My idea—for all it’s worth—is to offer them only $300.;Minha ideia – se serve de ajuda/se faz sentido – é oferecê-los somente $300.
Ask her to give us her opinion, for all it’s worth.;Peça a ela para nós dar sua opinião, se é que faz sentido.(Peça a ela que dê sua opinião de qualquer forma)
Don’t have a cow—it’s no big deal.;Não fique nervoso – não é nada demais.
The workers complained to their boss because the manager was always having a cow over unimportant things.;Os trabalhadores reclamaram aos seus chefes porque o administrador estava sempre tendo um ataque por coisas sem importância.
My mom’s going to have a cow when she sees this!;Minha mãe vai ficar louca quando ela ver isso!
Come on Billy, don’t have a cow, it’s no big deal!;Qual é Billy, não perca a cabeça, não é nada demais!
Parent groups have a cow over campaign pushing chocolate milk as a ‘health food’.;Grupos de pais ficam loucos com a campanha empurrando achocolatado como “comida saudável”.
My teacher had a cow when she realized nobody had done the homework.;Minha professora teve um ataque quando ela percebeu que ninguém tinha feito a tarefa de casa.
Chief will have a cow if he sees you, Mike.;O chefe vai ter um ataque quando te ver, Mike.
Post office would have a cow if they knew we handled the UPS guy’s stuff.;O correio teria um surto se eles soubesse que nós entregamos as coisas dos caras da UPS.(Nos Estados Unidos existe uma rixa cultural entre o Correio Federal e a UPS – United Parcel Service, ambas são agências que entregam encomendas mas a UPS é privado)
She’ll have a cow if we talk to her brother, I’d hate to see that.;Ela irá ter um troço se nós conversamos com o irmão dela, eu odiaria ver isso.
They didn’t want to see their investment go down the toilet.;Eles não queriam ver seu investimento ir por água abaixo.
Appearing on that talk show is usually a sign that your career is already down the toilet.;Aparecer naquele Talk Show é normalmente um sinal de que sua carreira já foi por água abaixo.
He never showed up to drive us, and our plans for the evening went down the toilet.;Ele nunca apareceu para nos guiar e nossos planos par a noite foram pelo ralo.
After the drug scandal, his career went down the toilet.;Depois do escândalo com drogas, a carreira dele foi por água abaixo.
