Inglês;Português
There will come a time when you’ll need to take a stand for the changes you want.;Virá um momento quando você precisará se manifestar pelas mudanças que deseja.
I hope you take a firm stand on the need for more office security.;Espero que vocês tomem uma posição firme em relação à necessidade de maior segurança para o escritório.
The treasurer took a stand , and others agreed.;O tesoureiro se posicionou e os outros concordaram.
She takes issue with the notion of crime as unique to contemporary society.;Ela discorda totalmente da noção do crime como algo exclusivo da sociedade contemporânea.
She took issue with the conclusions reached by the study.;Ela discordou das conclusões alcançadas pelo estudo.
I take issue with the wording in this paragraph.;Eu discordo totalmente com a formulação deste parágrafo.
I heard your last statement and I have to take issue with you.;Eu ouvi sua última declaração e tenho de discordar com você.
I want to take issue with the last statement you made.;Quero discordar da última declaração que você fez.
I take issue with those figures, they don’t include last month’s sales.;Discordo destas cifras, elas não incluem as vendas do mês passado.
I must take issue with you on the question of teachers’ pay.;Devo discordar com você sobre a questão do salário dos professores.
It is difficult to take issue with his analysis.;É difícil discordar com a análise dele.
Tom took issue with Maggie about the cost of the house.;Tom discordou com Maggie sobre o custo da casa.
They robbed the bank in broad daylight.;Eles roubaram o banco em plena luz do dia.
Thieves had broken into the house in broad daylight.;Ladrões haviam invadido a casa em plena luz do dia.
A girl was attacked on a train in broad daylight.;Uma garota foi atacada em um trem em plena luz do dia.
The robbery happened in broad daylight in a busy part of town.;O assalto ocorreu em plena luz do dia , em uma parte agitada da cidade.
The gangland feud is getting so bad that people are being shot in broad daylight.;A rivalidade entre gangues está piorando tanto que as pessoas estão sendo baleadas em plena luz do dia.
He was attacked right in the centre of town in broad daylight.;Ele foi atacado bem no centro da cidade em plena luz do dia.
Tom is as good as his word — if he promised to help you move, then he’ll be here.;O Tom é pessoa de palavra – se ele prometeu ajudar você a se mudar, então ele estará aqui.
You’ll find that she’s as good as her word — she always comes if she says she will.;Você vai descobrir que ela cumpre com a palavra – ela sempre vem se diz que virá.
She said she would babysit and she was as good as her word.;Ela disse que serviria de babá e manteve a palavra.
He said he’d call every day and he was as good as his word.;Ele disse que ligaria todo dia e manteve a palavra.
Our pilot promised us a spectacular trip and he was as good as his word.;Nosso piloto nos prometeu uma viagem espetacular e agiu conforme o prometido.
Kerry told them she was going to pay off what she owed – and she was as good as her word.;Kerry lhes disse que ia pagar o que devia – e manteve a palavra.
Even his harshest critics had to concede that he’d been as good as his word.;Mesmo seus críticos mais duros tinham de admitir que ele havia sido um homem de palavra.
He was as good as his word and came to see me as soon as he arrived.;Ele cumpriu com o prometido e veio me ver assim que chegou.
She was as good as her word , calling her mom every Sunday.;Ela manteve a palavra , ligando para a mãe todo domingo.
The committee is being accused of sweeping financial problems under the rug to avoid embarrassment.;O comitê está sendo acusado de encobrir seus problemas financeiros para evitar passar vergonha.
The senator has been accused of trying to sweep his former drug use under the rug.;O senador foi acusado de tentar abafar seu antigo uso de drogas.
You need to stop sweeping your problems under the rug.;Nothing will get resolved like that! Você precisa parar de encobrir seus problemas.
Their attempts to sweep the scandal under the rug were not very successful.;As tentativas deles de abafar o escândalo não foram muito bem-sucedidas.
He tried to sweep his past mistakes under the rug.;Ele tentou encobrir seus erros passados.
The Chinese Government seems determined to sweep human rights abuses under the rug , by arresting activists and protestors.;O governo chinês parece determinado a encobrir os abusos de direitos humanos, prendendo ativistas e dissidentes.
I know for a fact that he was lying.;Eu sei com certeza que ele estava mentindo.
I know for a fact that baby corn is very expensive in Europe.;Eu sei de fato que o minimilho é muito caro na Europa.
I know for a fact that Graham has kept in close touch with Alan.;Eu sei com certeza que o Graham se manteve em contato próximo com o Alan.
I know for a fact that he cheats in cards! I saw the ace up his sleeve.;Eu sei com certeza que ele trapaceia no baralho! Eu vi o às na manga dele.
My mom says she knows for a fact that I’m getting the internship at her company, but I won’t believe it until the recruiter calls me.;Minha mãe disse que sabe como fato que vou conseguir o estágio na companhia dela, mas não vou acreditar até que o recrutador me ligue.
I know for a fact that he can’t speak a word of Japanese.;Eu sei com certeza que ele não fala uma palavra de japonês.
If you know the answer for a fact , please get in touch.;Se você sabe a resposta com certeza , por favor, entre em contato.
I know for a fact that his mother and father didn’t have any siblings, so he doesn’t have any cousins.;Eu sei com certeza que a mãe e o pai dele não tinham irmãos, então ele não tem primo nenhum.
I know for a fact that he did it.;Eu sei com certeza que ele fez isso.
He said he knows for a fact that’s not true.;Ele disse que sabe com certeza que isso não é verdade.
We ’ ll go slowly to begin with.;Nós iremos devagar, a princípio.
It was great to begin with but now it’s difficult.;Foi ótimo a princípio , mas agora é difícil.
The kids helped me to begin with , but they soon got bored.;As crianças me ajudaram a princípio , mas logo ficaram entediadas.
I found it tiring to begin with but I soon got used to it.;Eu achei cansativo de início , mas logo me acostumei.
I didn’t break it! It was like that to begin with.;Eu não quebrei! Já estava assim de início.
You should have said you were feeling ill to begin with ! I wouldn’t have given you such a hard time if I’d known.;Você deveria ter dito que estava se sentindo mal de início ! Eu não teria pegado tanto no seu pé se soubesse.
We had an awful time! To begin with , Cameron got sick on the first day.;Nós passamos maus bocados! Para começo de conversa , a Cameron ficou doente no primeiro dia.
Well, to begin with , he shouldn’t even have been driving my car.;Bem, para começo de conversa , ele nem deveria estar dirigindo o meu carro.
I never would have bought this car to begin with if I’d known there weren’t airbags.;Eu nunca teria comprado esse carro, para começo de conversa , se eu soubesse que não havia airbags.
Learning to ride a bicycle is a matter of practice.;Aprender a andar de bicicleta é uma questão de prática.
His success was just a matter of being in the right place at the right time.;O sucesso dele foi só uma questão de estar no lugar certo na hora certa.
It’s only a matter of time until we catch him.;É só uma questão de tempo até que nós o peguemos.
It’s a matter of sticking with the program in order to succeed.;É uma questão de continuar com a programação a fim de ser bem-sucedido.
With your reckless spending behavior, it’s only a matter of time before you go bankrupt.;Com o seu imprudente comportamento consumista, é apenas uma questão de tempo até que você vá à falência.
I don’t care about the money — it’s a matter of principle.;Eu não me importo com o dinheiro — é uma questão de princípio.
Don’t worry, it’ll only be a matter of hours before he gets back.;Não se preocupe, será apenas uma questão de horas até ele voltar.
Choosing the best ballplayer of all time is really a matter of opinion.;Escolher o melhor jogador de beisebol é , na verdade, uma questão de opinião.
The pasta cooks in a matter of minutes.;A massa cozinha em questão de minutos.
